nazwa,kategoria
Kotlet schabowy surowy,mięso surowe
Pierś kaczki,mięso surowe
Kaczka cała,mięso surowe
Gęś cała,mięso surowe
Królik cały,mięso surowe
Udziec z królika,mięso surowe
Mięso mielone z kurczaka,mięso surowe
Klops mielony,mięso surowe
Burgery wołowe surowe,mięso surowe
Burgery wieprzowe surowe,mięso surowe
Roladki z boczku surowe,mięso surowe
Żeberka back ribs,mięso surowe
Filet z łososia świeży,ryby
Łosoś atlantycki,ryby
Łosoś wędzony,ryby
Łosoś wędzony na zimno,ryby
Gravlax,ryby
Tuńczyk świeży,ryby
Tuńczyk w puszce w sosie własnym,ryby
Tuńczyk w puszce w oleju,ryby
Tuńczyk w puszce z warzywami,ryby
Makrela wędzona,ryby
Makrela w pomidorach,ryby
Makrela w oleju,ryby
Pstrąg tęczowy świeży,ryby
Pstrąg wędzony,ryby
Dorsz bałtycki filet,ryby
Dorsz wędzony,ryby
Śledź w oleju,ryby
Śledź marynowany,ryby
Śledź solony,ryby
Filet z mintaja,ryby
Mintaj mrożony,ryby
Tilapia filet,ryby
Pangasius filet,ryby
Filet z morszczuka,ryby
Halibut filet,ryby
Flądra filet,ryby
Sandacz filet,ryby
Karp filet,ryby
Karp świeży,ryby
Sardynki w pomidorach,ryby
Sardynki w oleju,ryby
Szprotki wędzone,ryby
Szprotki w oleju,ryby
Anchois w oleju,ryby
Anchois filety,ryby
Krewetki koktajlowe mrożone,ryby
Krewetki tygrysie,ryby
Krewetki jumbo,ryby
Krewetki koktajlowe gotowane,ryby
Kalmary mrożone,ryby
Krążki kałamarnicy,ryby
Małże mrożone,ryby
Małże w muszlach,ryby
Ośmiornica mrożona,ryby
Langustynki mrożone,ryby
Kawior czarny,ryby
Kawior czerwony,ryby
Ikra łososia,ryby
Pasta z łososia,ryby
Pasta rybna,ryby
Pasztet rybny,ryby
Sushi łosoś,ryby
Sashimi,ryby
Ryba po grecku,ryby
Śledź po japońsku,ryby
Filet rybny mrożony,ryby
Ryba na patyk mrożona,ryby
Sałata lodowa,warzywa liściaste
Sałata masłowa,warzywa liściaste
Sałata dębowa,warzywa liściaste
Sałata rzymska,warzywa liściaste
Sałata roszponka,warzywa liściaste
Sałata lollo rossa,warzywa liściaste
Sałata batavia,warzywa liściaste
Mix sałat,warzywa liściaste
Mix sałat i rukoli,warzywa liściaste
Baby leaf mix,warzywa liściaste
Rukola,warzywa liściaste
Rukola baby,warzywa liściaste
Rukola ogrodowa,warzywa liściaste
Szpinak świeży,warzywa liściaste
Szpinak baby,warzywa liściaste
Szpinak mrożony,warzywa liściaste
Liście szpinaku,warzywa liściaste
Szpinak workowy,warzywa liściaste
Jarmuż,warzywa liściaste
Liście jarmużu,warzywa liściaste
Jarmuż kędzierzawy,warzywa liściaste
Kapusta pekińska,warzywa liściaste
Kapusta włoska,warzywa liściaste
Kapusta pak choi,warzywa liściaste
Pak choi baby,warzywa liściaste
Bok choy,warzywa liściaste
Radicchio,warzywa liściaste
Endywia,warzywa liściaste
Cykoria sałatowa,warzywa liściaste
Roszponka polna,warzywa liściaste
Roszponka z rukola,warzywa liściaste
Natka pietruszki,warzywa liściaste
Pietruszka nać,warzywa liściaste
Koperek świeży,warzywa liściaste
Koper ogrodowy,warzywa liściaste
Bazylia świeża,warzywa liściaste
Kolendra świeża,warzywa liściaste
Mięta świeża,warzywa liściaste
Szczypiorek,warzywa liściaste
Dymka zielona,warzywa liściaste
Cebula dymka,warzywa liściaste
Boćwina,warzywa liściaste
Liście buraka czerwonego,warzywa liściaste
Mniszek lekarski liście,warzywa liściaste
Portulaka,warzywa liściaste
Liście gorczycy,warzywa liściaste
Mizuna,warzywa liściaste
Tatsoi,warzywa liściaste
Sałatka lodowa w worku,warzywa liściaste
Gotowa mieszanka sałat,warzywa liściaste
Szpinak z ricottą do makaronu,warzywa liściaste
Liście winogron,warzywa liściaste
Sałata ze szpinakiem mix,warzywa liściaste
Microgreens,warzywa liściaste
Kiełki soczewicy,warzywa liściaste
Kiełki słonecznika,warzywa liściaste
Marchewka,warzywa twarde
Marchew baby,warzywa twarde
Marchew mini,warzywa twarde
Ziemniaki,warzywa twarde
Ziemniaki młode,warzywa twarde
Ziemniaki do pieczenia,warzywa twarde
Ziemniaki czerwone,warzywa twarde
Ziemniaki żółte,warzywa twarde
Papryka czerwona,warzywa twarde
Papryka żółta,warzywa twarde
Papryka zielona,warzywa twarde
Papryka pomarańczowa,warzywa twarde
Papryka mini kolorowa,warzywa twarde
Pomidor malinowy,warzywa twarde
Pomidor koktajlowy,warzywa twarde
Pomidory cherry,warzywa twarde
Pomidor beefsteak,warzywa twarde
Pomidory suszone,warzywa twarde
Ogórek zielony,warzywa twarde
Ogórek sałatkowy,warzywa twarde
Ogórek gruntowy,warzywa twarde
Ogórek baby,warzywa twarde
Brokuł,warzywa twarde
Brokuł różyczki,warzywa twarde
Brokuł mini,warzywa twarde
Kalafior,warzywa twarde
Kalafior różowy,warzywa twarde
Kalafior zielony,warzywa twarde
Cebula żółta,warzywa twarde
Cebula czerwona,warzywa twarde
Cebula biała,warzywa twarde
Szalotka,warzywa twarde
Czosnek główka,warzywa twarde
Czosnek młody,warzywa twarde
Buraki ćwikłowe,warzywa twarde
Buraki czerwone ugotowane,warzywa twarde
Buraczki,warzywa twarde
Bataty słodkie ziemniaki,warzywa twarde
Batat pomarańczowy,warzywa twarde
Cukinia zielona,warzywa twarde
Cukinia żółta,warzywa twarde
Bakłażan,warzywa twarde
Bakłażan czarny,warzywa twarde
Por,warzywa twarde
Por baby,warzywa twarde
Seler naciowy,warzywa twarde
Seler korzeniowy,warzywa twarde
Pieczarki,warzywa twarde
Boczniaki,warzywa twarde
Shiitake,warzywa twarde
Grzyby leśne mrożone,warzywa twarde
Kukurydza kolba,warzywa twarde
Kukurydza mrożona ziarna,warzywa twarde
Dynia hokkaido,warzywa twarde
Dynia butternut,warzywa twarde
Dynia makaronowa,warzywa twarde
Rzodkiewka,warzywa twarde
Rzodkiew biała,warzywa twarde
Fasolka szparagowa zielona,warzywa twarde
Fasolka szparagowa żółta,warzywa twarde
Groszek świeży,warzywa twarde
Groch zielony,warzywa twarde
Szparagi zielone,warzywa twarde
Szparagi białe,warzywa twarde
Kalarepka,warzywa twarde
Pasternak,warzywa twarde
Pietruszka korzeń,warzywa twarde
Topinambur,warzywa twarde
Brukiew,warzywa twarde
Kapusta głowiasta biała,warzywa twarde
Kapusta czerwona,warzywa twarde
Brukselka,warzywa twarde
Karczochy,warzywa twarde
Jabłka golden,owoce
Jabłka gala,owoce
Jabłka jonagold,owoce
Jabłka fuji,owoce
Jabłka szara reneta,owoce
Jabłka ligol,owoce
Banany,owoce
Banany bio,owoce
Banany mini,owoce
Pomarańcze,owoce
Pomarańcze soczyste,owoce
Pomarańcze bez pestek,owoce
Mandarynki,owoce
Klementynki,owoce
Satsuma,owoce
Truskawki,owoce
Truskawki polskie,owoce
Truskawki mrożone,owoce
Truskawki bio,owoce
Winogrona zielone bezpestkowe,owoce
Winogrona czerwone,owoce
Winogrona muscat,owoce
Kiwi,owoce
Kiwi gold,owoce
Kiwi mini,owoce
Mango,owoce
Mango kent,owoce
Mango tommy,owoce
Awokado,owoce
Awokado hass,owoce
Awokado gotowe do spożycia,owoce
Cytryna,owoce
Cytryny bio,owoce
Limonka,owoce
Grapefruit żółty,owoce
Grapefruit różowy,owoce
Borówki,owoce
Borówki amerykańskie,owoce
Borówka brusznica,owoce
Maliny,owoce
Maliny mrożone,owoce
Jeżyny,owoce
Porzeczki czarne,owoce
Porzeczki czerwone,owoce
Gruszki konferencja,owoce
Gruszki faworytka,owoce
Gruszki williams,owoce
Śliwki,owoce
Śliwki wegierki,owoce
Śliwki suszone,owoce
Brzoskwinie,owoce
Nektarynki,owoce
Wiśnie,owoce
Wiśnie mrożone,owoce
Czereśnie,owoce
Czereśnie bigarreau,owoce
Arbuz,owoce
Arbuz bez pestek,owoce
Arbuz mini,owoce
Melon honeydew,owoce
Melon cantaloupe,owoce
Melon galia,owoce
Ananas,owoce
Ananas pokrojony,owoce
Ananas w puszce,owoce
Papaja,owoce
Mango mrożone,owoce
Granat,owoce
Figi świeże,owoce
Daktyle świeże,owoce
Liczi,owoce
Marakuja,owoce
Karambola,owoce
Agrest,owoce
Żurawina świeża,owoce
Chleb żytni razowy,pieczywo
Chleb żytni na zakwasie,pieczywo
Chleb żytni z ziarnami,pieczywo
Chleb pszenny,pieczywo
Chleb pszenny jasny,pieczywo
Chleb pszenny razowy,pieczywo
Chleb graham,pieczywo
Chleb orkiszowy,pieczywo
Chleb wieloziarnisty,pieczywo
Chleb słonecznikowy,pieczywo
Chleb z pestkami dyni,pieczywo
Chleb tostowy,pieczywo
Chleb tostowy pszenny,pieczywo
Chleb tostowy razowy,pieczywo
Chleb bezglutenowy,pieczywo
Chleb bez drożdży,pieczywo
Chleb baltonowski,pieczywo
Chleb staropolski,pieczywo
Pumpernikiel,pieczywo
Chleb chrupki,pieczywo
Bułka kajzerka,pieczywo
Bułka pszenna,pieczywo
Bułka grahamka,pieczywo
Bułka z makiem,pieczywo
Bułka z sezamem,pieczywo
Bułka hamburgerowa,pieczywo
Bułka hot-dog,pieczywo
Bułka drożdżowa,pieczywo
Bagietka pszenna,pieczywo
Bagietka pełnoziarnista,pieczywo
Ciabatta,pieczywo
Ciabatta z oliwkami,pieczywo
Focaccia,pieczywo
Pita,pieczywo
Wrap pszenny,pieczywo
Tortilla pszenna,pieczywo
Naan,pieczywo
Chlebek czosnkowy,pieczywo
Chlebek z ziołami,pieczywo
Rogal maślany,pieczywo
Rogalik,pieczywo
Croissant,pieczywo
Croissant maślany,pieczywo
Chałka,pieczywo
Chałka z makiem,pieczywo
Chałka zawijana,pieczywo
Precle solone,pieczywo
Obwarzanek krakowski,pieczywo
Chleb z orzechami,pieczywo
Chleb żurawinowy,pieczywo
Tosty żytnie,pieczywo
Tosty pełnoziarniste,pieczywo
Grzanki,pieczywo
Sucharki,pieczywo
Wafle ryżowe,pieczywo
Pieczywo chrupkie żytnie,pieczywo
Knäckebrot,pieczywo
Jajka kurze M 10 sztuk,jajka
Jajka kurze L 10 sztuk,jajka
Jajka kurze XL 10 sztuk,jajka
Jajka kurze S 10 sztuk,jajka
Jajka kurze M 6 sztuk,jajka
Jajka kurze L 6 sztuk,jajka
Jajka M białe,jajka
Jajka L białe,jajka
Jajka M brązowe,jajka
Jajka L brązowe,jajka
Jajka od kur z wolnego wybiegu M,jajka
Jajka od kur z wolnego wybiegu L,jajka
Jajka od kur z wolnego wybiegu XL,jajka
Jajka ekologiczne bio M,jajka
Jajka ekologiczne bio L,jajka
Jajka zagrodowe M,jajka
Jajka wiejskie,jajka
Jajka omega-3,jajka
Jajka z omega,jajka
Jajka M klasa A,jajka
Jajka L klasa A,jajka
Jajka XL klasa A,jajka
Jajka kacze,jajka
Jajka przepiórcze,jajka
Jajka gęsie,jajka
Jaja kurze świeże,jajka
Jaja M 12 sztuk,jajka
Jaja L 12 sztuk,jajka
Jajka XXL od kur z wolnego wybiegu,jajka
Jajka wybrane,jajka
Jajko klasy A,jajka
Jajka od kur z chowu ściółkowego,jajka
Jajka o podwyższonej zawartości kwasów omega,jajka
Jajka wzbogacone selenem,jajka
Jajka kurze M 15 sztuk,jajka
Jajka M tray 30 sztuk,jajka
Jaja przepiórcze 20 sztuk,jajka
Jajka kur zielononóżek,jajka
Jajka staropolskie,jajka
Jajko sadzone pakowane,jajka
Jajka gotowane,jajka
Jajka na twardo 6 sztuk,jajka
Jaja kurze z Mazowsza,jajka
Jajka z certyfikatem wolny wybieg,jajka
Sok pomarańczowy 100%,napoje
Sok pomarańczowy świeżo wyciskany,napoje
Sok jabłkowy 100%,napoje
Sok jabłkowy naturalnie mętny,napoje
Sok grejpfrutowy 100%,napoje
Sok pomidorowy,napoje
Sok marchwiowy,napoje
Sok z czarnej porzeczki,napoje
Sok wielowarzywny,napoje
Sok multiwitamina,napoje
Nectar mango,napoje
Nectar wiśniowy,napoje
Woda mineralna niegazowana,napoje
Woda mineralna gazowana,napoje
Woda źródlana,napoje
Woda smakowa cytrynowa,napoje
Woda smakowa miętowa,napoje
Woda kokosowa,napoje
"Cola 1,5L",napoje
Cola zero cukru,napoje
Pepsi,napoje
Pepsi max,napoje
Napój energetyczny Red Bull,napoje
Napój energetyczny Monster,napoje
Napój izotoniczny Powerade,napoje
Napój izotoniczny Isotonic,napoje
Lemoniada cytrynowa,napoje
Lemoniada malinowa,napoje
Lemoniada imbirowa,napoje
Herbata czarna liściasta,napoje
Herbata zielona,napoje
Herbata biała,napoje
Herbata owocowa,napoje
Herbata miętowa,napoje
Herbata z rumiankiem,napoje
Herbata ekspresowa Yorkshire,napoje
Herbata Lipton,napoje
Kawa mielona arabica,napoje
Kawa ziarnista,napoje
Kawa instant,napoje
Kawa cappuccino instant,napoje
Kawa latte,napoje
Kawa Nescafe,napoje
Kawa espresso mielona,napoje
Kawa 100% arabica,napoje
Napój kawowy latte gotowy,napoje
Cold brew kawa,napoje
Kombucha naturalna,napoje
Kombucha imbirowa,napoje
Kefir wodny,napoje
Kwas chlebowy,napoje
Kompot z wiśni,napoje
Maślanka pitna smakowa,napoje
Kakao do picia,napoje
Mleko czekoladowe,napoje
Dżem truskawkowy,przetwory
Dżem malinowy,przetwory
Dżem morelowy,przetwory
Dżem wiśniowy,przetwory
Dżem porzeczkowy,przetwory
Dżem śliwkowy,przetwory
Dżem jagodowy,przetwory
Dżem borówkowy,przetwory
Dżem brzoskwiniowy,przetwory
Marmolada wieloowocowa,przetwory
Konfitury z wiśni,przetwory
Konfitury z malin,przetwory
Powidła śliwkowe,przetwory
Powidła z śliwek węgierek,przetwory
Ogórki kiszone,przetwory
Ogórki małosolne,przetwory
Ogórki konserwowe,przetwory
Kapusta kiszona,przetwory
Kapusta kwaszona,przetwory
Koncentrat pomidorowy,przetwory
Passata pomidorowa,przetwory
Sos pomidorowy,przetwory
Pesto bazyliowe,przetwory
Pesto alla genovese,przetwory
Pesto z rukoli,przetwory
Fasola biała w puszce,przetwory
Fasola czerwona w puszce,przetwory
Ciecierzyca w puszce,przetwory
Soczewica czerwona w puszce,przetwory
Kukurydza konserwowa w puszce,przetwory
Groszek zielony konserwowy,przetwory
Papryka marynowana,przetwory
Papryka konserwowa,przetwory
Oliwki zielone,przetwory
Oliwki czarne,przetwory
Oliwki nadziewane,przetwory
Hummus klasyczny,przetwory
Hummus z pieczoną papryką,przetwory
Pasta z tuńczyka,przetwory
Pasta śledziowa,przetwory
Pasta rybna,przetwory
Pasztet wieprzowy,przetwory
Pasztet z drobiu,przetwory
Sos sojowy,przetwory
Sos worcestershire,przetwory
Sos tabasco,przetwory
Ketchup,przetwory
Ketchup pikantny,przetwory
Musztarda,przetwory
Majonez,przetwory
Majonez light,przetwory
Chrzan tarty,przetwory
Ocet jabłkowy,przetwory
Ocet winny,przetwory
Balsamico,przetwory
Olej rzepakowy,przetwory
Oliwa z oliwek extra virgin,przetwory
Miso pasta,przetwory
Kimchi,przetwory
Marynowane pieczarki,przetwory
Marynowane grzyby leśne,przetwory
Tapenade z oliwek,przetwory
Sos chili,przetwory
Salsa pomidorowa,przetwory
Mąka pszenna typ 450,inne
Mąka pszenna typ 550,inne
Mąka razowa,inne
Mąka orkiszowa,inne
Mąka kukurydziana,inne
Mąka bezglutenowa,inne
Ryż biały długoziarnisty,inne
Ryż jaśminowy,inne
Ryż basmati,inne
Ryż brązowy,inne
Ryż arborio do risotto,inne
Makaron spaghetti,inne
Makaron penne,inne
Makaron fusilli,inne
Makaron tagliatelle,inne
Makaron lasagne,inne
Makaron bezglutenowy,inne
Kasza gryczana,inne
Kasza jaglana,inne
Kasza jęczmienna,inne
Kasza manna,inne
Kasza kuskus,inne
Komosa ryżowa quinoa,inne
Płatki owsiane górskie,inne
Płatki owsiane błyskawiczne,inne
Musli z owocami,inne
Granola,inne
Musli zbożowe,inne
Cukier biały,inne
Cukier trzcinowy,inne
Cukier puder,inne
Miód wielokwiatowy,inne
Miód gryczany,inne
Miód akacjowy,inne
Syrop klonowy,inne
Syrop z agawy,inne
Syrop daktylowy,inne
Czekolada mleczna,inne
Czekolada gorzka 70%,inne
Czekolada biała,inne
Chipsy ziemniaczane,inne
Chipsy paprykowe,inne
Popcorn,inne
Paluszki solone,inne
Precelki,inne
Krakersy,inne
Orzechy włoskie,inne
Migdały,inne
Nerkowce,inne
Pistacje,inne
Orzechy laskowe,inne
Orzechy ziemne,inne
Mix orzechów,inne
Nasiona słonecznika,inne
Nasiona dyni,inne
Siemię lniane,inne
Sezam,inne
Chia,inne
Mak,inne
Drożdże świeże,inne
Drożdże instant,inne
Proszek do pieczenia,inne
Soda oczyszczona,inne
Żelatyna,inne
Agar,inne
Sól morska,inne
Sól himalajska,inne
Pieprz czarny mielony,inne
Olej kokosowy,inne
Masło orzechowe,inne
Masło migdałowe,inne
